;std
BBG00M0X4584;0.045
BBG000G0Z878;0.02
BBG00L9HLWV8;0.021
BBG000RJL816;0.037
BBG000BGKTF9;0.032
BBG000BJL3N0;0.025
BBG000BQ4512;0.063
BBG0014XR0N5;0.052
BBG000BH3GZ2;0.017
BBG0028ZMP45;0.028
BBG000BLZRJ2;0.023
BBG000F5VVB6;0.021
BBG0084BBZY6;0.039
BBG004731489;0.018
BBG000BNY197;0.022
BBG000P7S7L7;0.117
BBG000BS48J3;0.034
BBG007FL7ZD2;0.003
BBG000C2ZCH8;0.015
BBG000BQGLS5;0.011
BBG000BV59Y6;0.019
BBG0078W3NQ3;0.039
BBG000BCQM58;0.014
BBG000BLNNH6;0.018
BBG000BGPQW1;0.037
BBG000C136Z8;0.025
BBG000BP1152;0.034
BBG000Q5ZRM7;0.017
BBG00DYPZ4T0;0.031
BBG000BM0QL7;0.03
BBG000C3KB84;0.018
BBG004S687G6;0.018
BBG00LN4B5N0;0.023
BBG009NRSWJ4;0.048
BBG000BSZ738;0.015
BBG000PXGT62;0.036
BBG000BVXPZ8;0.02
BBG005D1WCQ1;0.067
BBG000BD53V2;0.019
BBG000FWGSZ5;0.038
BBG00H19F184;0.069
BBG000C1BCK2;0.024
BBG000N16BP3;0.023
BBG000LNL298;0.029
BBG006473QX9;0.044
BBG000BPBTL2;0.023
BBG00ZVC67K7;0.026
BBG00Y91R9T3;0.036
BBG00HTN2CQ3;0.059
BBG000BFCS17;0.04
BBG000CXYSZ6;0.03
BBG000BB88K4;0.024
BBG000BHPL78;0.023
BBG003T4VFC2;0.036
BBG000BC33T9;0.022
BBG005H82GB2;0.028
BBG009CL6VK3;0.066
BBG005ZVK9P2;0.072
BBG001C7TST4;0.047
BBG000JG0547;0.018
BBG000BBTJZ1;0.015
BBG00S1HJ3M8;0.047
BBG004S686W0;0.024
BBG000BNPYN9;0.018
BBG000BV95H9;0.027
BBG000CJ2181;0.031
BBG000QKVV49;0.08
BBG000BNTTY4;0.029
BBG000BZ0DK8;0.022
BBG006D97VY9;0.062
BBG00HMJ9H54;0.055
BBG00HFWVGN0;0.034
BBG000GZQ728;0.017
BBG000BTYP37;0.113
BBG0063GCHH8;0.045
BBG000FTLBV7;0.134
BBG000BRRG02;0.03
BBG00L4CWQ45;0.065
BBG000BBL0Y1;0.024
BBG000BSSC44;0.017
BBG000BX24N8;0.027
BBG004S68FR6;0.069
BBG000BT41Q8;0.031
BBG00H9MNDZ2;0.029
BBG000BVMPN3;0.022
BBG0029SG1C1;0.024
BBG000BG7GX2;0.021
BBG000NLC9Z6;0.022
BBG000CL9JV4;0.021
BBG00475K2X9;0.029
BBG00XDH4NZ2;0.042
BBG000DTT624;0.015
BBG001DCTG63;0.073
BBG000BFVXX0;0.014
BBG0021PH456;0.024
BBG000BC6M41;0.05
BBG000BDCM24;0.035
BBG000BH5LT6;0.065
BBG006FCB019;0.022
BBG000C3TKY6;0.025
BBG000BFV758;0.036
BBG004S685M3;0.014
BBG000CTSZQ6;0.024
BBG004S68614;0.027
BBG00DDY1RK9;0.12
BBG000C0BZD1;0.05
BBG000C4Z6C2;0.018
BBG000CQV2N4;0.017
BBG00VSH86G4;0.041
BBG000BX72V8;0.023
BBG00C4DL9L4;0.063
BBG000BB1TH9;0.033
BBG000BX7DH0;0.028
BBG00341H6M0;0.039
BBG00GFMPRK0;0.048
BBG000LF8708;0.016
BBG000C7LMS8;0.036
BBG000C496P7;0.037
BBG000BDPB15;0.103
BBG000R7Z112;0.033
BBG00XGCHFV7;0.066
BBG000KK1L04;0.03
BBG000BPH459;0.017
BBG000DQTXY6;0.031
BBG014GJ8XH2;0.055
BBG004T7VS53;0.024
BBG000PMBV39;0.016
BBG00B0FS947;0.027
BBG004731354;0.026
BBG000GQSRR5;0.035
BBG000C0RGY3;0.03
BBG000F86GP6;0.025
BBG000BCRMW7;0.015
BBG006PWZX16;0.038
BBG00SSQFPK6;0.022
BBG000BM2FL9;0.031
BBG000BV4XJ1;0.038
BBG000BHY4D9;0.019
BBG000QT15P7;0.044
BBG0088CYPX8;0.013
BBG000C1S2X2;0.023
BBG000BLSL58;0.017
BBG006G2JVL2;0.302
BBG000G3QLY3;0.024
BBG000BLPBL5;0.017
BBG005CM7J89;0.055
BBG000BD1HP2;0.013
BBG000QCW561;0.029
BBG000PD6X77;0.018
BBG000BKVJK4;0.021
BBG008N298Y8;0.05
BBG004KB3S72;0.067
BBG000BL79J3;0.047
BBG004HXD0G8;0.022
BBG000BR3KL6;0.019
BBG000D7RKJ5;0.019
BBG000BZCKH3;0.026
BBG000BK9W84;0.015
BBG00JN4FXG8;0.043
BBG000BJ26K7;0.042
BBG000BMQPL1;0.025
BBG000BC2R71;0.033
BBG000GX14P2;0.045
BBG000BFNR17;0.048
BBG000BT1ZY7;0.009
BBG00DQD26W3;0.074
BBG000BBXVK5;0.02
BBG004730RP0;0.023
BBG000C2D1C1;0.029
BBG000RTDY25;0.025
BBG000FKJRC5;0.031
BBG000BJW241;0.026
BBG000WCFV84;0.029
BBG00MJM7K82;0.049
BBG000BB61F7;0.02
BBG002B2J5X0;0.057
BBG000C2PW58;0.029
BBG000CYW7N5;0.018
BBG000BSXQV7;0.023
BBG012W99DN6;0.053
BBG000BCVJ77;0.013
BBG000NV1KK7;0.041
BBG000BR14K5;0.014
BBG000BDGHD9;0.025
BBG000BBNYF6;0.028
BBG004S68696;0.026
BBG000C0LW92;0.022
BBG00S1LR2C3;0.029
BBG000BWVCP8;0.02
BBG001RWPDW6;0.049
BBG000BKDWB5;0.033
BBG000BWGYF8;0.023
BBG000J79P80;0.015
BBG000C1XSP8;0.068
BBG000BQY289;0.02
BBG000Q3XWC4;0.064
BBG00475K6C3;0.048
BBG001M2SC01;0.032
BBG000PKZDX4;0.033
BBG0136BTL03;0.032
BBG000BN5LG7;0.035
BBG000CL1FG7;0.029
BBG000P5LMQ0;0.049
BBG00MRHG523;0.019
BBG000BCZYD3;0.014
BBG000KTF667;0.04
BBG000BS73J1;0.026
BBG000L69KL5;0.037
BBG00WCNDCZ6;0.039
BBG00BLVZ228;0.019
BBG006G063F9;0.016
BBG01138DGZ7;0.042
BBG000C42VX0;0.018
BBG000C4GBR6;0.021
BBG000H6K1B0;0.025
BBG000DN4ZT1;0.026
BBG000BBSJ28;0.016
BBG000ND1SB0;0.033
BBG00RRGSJR4;0.034
BBG007TJF1N7;0.029
BBG000BRMJN6;0.011
BBG010R8C3Y4;0.129
BBG000BB5B84;0.022
BBG000BF8CB6;0.028
BBG000CM6L31;0.076
BBG000G7W420;0.004
BBG000BL30Y9;0.047
BBG000BSS5C0;0.028
BBG000BVXC87;0.017
BBG000CC7LQ7;0.035
BBG000BHCYJ1;0.05
BBG000PRQ0V9;0.024
BBG008HNS333;0.09
BBG000C1FB75;0.019
BBG00389GQ73;0.048
BBG000BGPTV6;0.019
BBG000C75N77;0.029
BBG000PTLGZ1;0.028
BBG005XVXML5;0.032
BBG00DXDL6Q1;0.028
BBG001D0HB36;0.047
BBG000HT5G06;0.031
BBG000VPGNR2;0.018
BBG00KXRCDP0;0.021
BBG0047315Y7;0.014
BBG00P1919G5;0.038
BBG000QTFDQ4;0.044
BBG00MMDJG84;0.045
BBG00VPKLPX4;0.058
BBG001Y04TN6;0.047
BBG000D0FNV3;0.04
BBG000BC3WH8;0.027
BBG006GNSZW5;0.021
BBG000H556T9;0.017
BBG000C42VL3;0.023
BBG000C1BW00;0.016
BBG000P1B7C8;0.018
BBG000BG7L34;0.017
BBG003CVJP50;0.063
BBG000N7KJX8;0.077
BBG000F61RJ8;0.024
BBG000BNJHS8;0.025
BBG000BKTXF2;0.019
BBG000QKNLB2;0.012
BBG00QVJVYB5;0.017
BBG009XW8PY2;0.051
BBG000BCVMH9;0.023
BBG000BD2NY8;0.023
BBG000Q49F45;0.003
BBG000BQDF10;0.03
BBG000NSCNT7;0.022
BBG00333FYS2;0.035
BBG000BBS9F6;0.013
BBG004M9ZHX5;0.056
BBG000CTM4J9;0.025
BBG000BPXVJ6;0.017
BBG000BNTW77;0.015
BBG000C22QV7;0.023
BBG000BKXBV7;0.016
BBG000C1XVK6;0.016
BBG000BHB3M6;0.02
BBG000D898T9;0.017
BBG006JS5785;0.063
BBG000BP4MH0;0.02
BBG000BL9C59;0.053
BBG000BP8Z50;0.019
BBG000BNHSP9;0.024
BBG00TJGL0F0;0.042
BBG000J0D904;0.058
BBG001J2M542;0.058
BBG000BBQCY0;0.035
BBG001B4BV87;0.028
BBG000BPBVW5;0.027
BBG00P9KDZK6;0.069
BBG00FYCQ352;0.042
BBG000BCMBG4;0.033
BBG011P2TCH8;0.054
BBG000BLCPY4;0.04
BBG00RCNQMX3;0.038
BBG000BX2YN2;0.025
BBG00YQ7XR05;0.054
BBG00HY28P97;0.072
BBG000C04224;0.029
BBG000BCFNR4;0.024
BBG004SK5VL9;0.05
BBG006Q52RD0;0.051
BBG000DCGRL8;0.028
BBG000BJX8C8;0.025
BBG0026ZJQX7;0.058
BBG000BFD605;0.021
BBG000BLF8D2;0.024
BBG000FV28W9;0.011
BBG00JRH1P95;0.028
BBG000GW06J7;0.051
BBG000Q3JN03;0.036
BBG000BF8CN3;0.03
BBG00R4ZKPN5;0.065
BBG0063FKTD9;0.018
BBG000BQ4GG2;0.019
BBG000FFDM15;0.017
BBG000C23DD5;0.048
BBG000BKCFC2;0.019
BBG000BJGGV8;0.016
BBG001P63B80;0.025
BBG000BKYVF0;0.028
BBG000M1J270;0.016
BBG003PS7JV1;0.018
BBG000RTHVK7;0.014
BBG000PQPCM6;0.022
BBG0082W8Q12;0.01
BBG014630587;0.036
BBG000BT0ZM1;0.027
BBG001KWWRS9;0.049
BBG000BWFH48;0.032
BBG000CZ8W54;0.039
BBG000BMHYD1;0.012
BBG000W325F7;0.021
BBG000VQWH86;0.032
BBG004S687W8;0.093
BBG000BRWWH3;0.02
BBG000BFZVH8;0.033
BBG000BHR1H9;0.025
BBG000BBHHP9;0.017
BBG000BFJFX3;0.014
BBG004S68829;0.027
BBG000BMY992;0.025
BBG000BJBZ23;0.036
BBG00ZNSSKP3;0.043
BBG000B9Z0J8;0.025
BBG0047315D0;0.018
BBG008NMBXN8;0.065
BBG000BGYMH7;0.024
BBG000BV8DN6;0.025
BBG000BQLM34;0.032
BBG00BN96922;0.022
BBG008NVB1C0;0.019
BBG000RYC984;0.017
BBG001K003W2;0.049
BBG000BND699;0.031
BBG000CWL0F5;0.047
BBG000C1FQS9;0.012
BBG0019GM953;0.033
BBG000BKPL53;0.018
BBG006DZTJ56;0.103
BBG000BFT2L4;0.019
BBG000BFGNJ5;0.036
BBG001B12Z39;0.058
BBG000BGJRC8;0.022
BBG000BF6LY3;0.062
BBG0020BCPX5;0.058
BBG003PGJHP5;0.031
BBG000BRW644;0.022
BBG000QFH687;
BBG00Z5KBW72;0.05
BBG000BBX657;0.034
BBG00FBJ6390;0.065
BBG000BB5006;0.028
BBG000DZK6N6;0.027
BBG000NJ96L6;0.02
BBG00BTJVK94;0.062
TBG000PV2L86;0.03
BBG000BMW2Z0;0.014
BBG000BBFBD7;0.021
BBG000BHRBT4;0.023
BBG000BY33P5;0.032
BBG00KT2SCV8;0.031
BBG00C6H6D40;0.036
BBG00HPDM5Z2;0.007
BBG000C4QP94;0.016
BBG00178PGX3;0.031
BBG005Q3MQY4;0.068
BBG000BJ5SS8;0.016
BBG00265T6Q4;0.017
BBG000BT0J38;0.017
BBG000BK9YW3;0.068
BBG000BXMFC3;0.028
BBG000BVD6X4;0.019
BBG000BMT9T6;0.022
BBG00F9XX7H4;0.017
BBG000C7TF41;0.027
BBG000BPPN67;0.02
BBG000BJBXZ2;0.048
BBG000BF33K1;0.031
BBG000BN46R9;0.048
BBG000C5Z1S3;0.036
BBG004S688G4;0.019
BBG000BKYDP9;0.024
BBG0029ZBN50;0.049
BBG000BGZP70;0.026
BBG000BX74M4;0.014
BBG000RNBH63;0.027
BBG009DTD8H2;0.051
BBG007N0Z367;0.031
BBG00DHTYPH8;0.075
BBG000BVHBM1;0.024
BBG000BQSQ38;0.017
BBG005BLN209;0.032
BBG000F0R4N9;0.043
BBG000CVWGS6;0.006
BBG000BGLFP7;0.021
BBG000G25P51;0.027
BBG000BX6BJ3;0.002
BBG00HMSHL83;0.04
BBG00179VSY7;0.005
BBG00KXC8646;0.067
BBG000QK0TG5;0.02
BBG00BN969C1;0.022
BBG000BHD8S7;0.033
BBG001Y2XS07;0.044
BBG000QSXPZ9;0.03
BBG000CC53X1;0.023
BBG000BKTFN2;0.026
BBG000Q2HM09;0.034
BBG000BNFLM9;0.035
BBG000JCZJS2;0.02
BBG000C4S3P3;0.015
BBG003LFWP05;0.026
BBG000BRNLL2;0.027
BBG000BCSST7;0.031
BBG000QP35H2;0.063
BBG00HJ8K617;0.088
BBG0078ZLDG9;0.03
BBG000QKXH20;0.066
BBG000BSJK37;0.013
BBG000BD0GG5;0.032
BBG000LNHHJ9;0.006
BBG01103B471;0.041
BBG000BBQ209;0.033
BBG00M4ZQDK0;0.097
BBG000BQ4WF8;0.035
BBG000C734W3;0.023
BBG000B9ZV28;0.022
BBG000Q4XNV1;0.024
BBG000PR0PJ6;0.051
BBG014KFRNP7;0.037
BBG000BMLWX8;0.029
BBG000BKF014;0.034
BBG000PXZFW2;0.024
BBG012YQ6P43;0.04
BBG000BW8S60;0.017
BBG00JPRDQH1;0.022
BBG000RK52V1;0.042
BBG000BGXMG9;0.032
BBG00LN7Q496;0.046
BBG00BN961G4;0.026
BBG000C4QB95;0.05
BBG000BSMFN2;0.015
BBG00YFSF9D7;0.059
BBG000GPXKX9;0.023
BBG000F964B6;0.012
BBG000QPHD08;0.021
BBG00NPWH832;0.018
BBG004S682J4;0.026
BBG005XZHR97;0.036
BBG00DYNJGH9;0.026
BBG000BQHTV3;0.027
BBG000K4ND22;0.018
BBG000CVKZY0;0.019
BBG000BTC2N0;0.017
BBG001KJ7WJ5;0.085
BBG00JHNKJY8;0.034
BBG000BF3G77;0.02
BBG000BQWPC5;0.027
BBG000BGZT72;0.033
BBG001BP92V1;0.036
BBG00H00J2N1;0.051
BBG000CX0P89;0.028
BBG000BKWSR6;0.028
BBG000BB2KN0;0.025
BBG000BVLRY8;0.024
BBG000DY28W5;0.026
BBG011386VF4;0.035
BBG000PSKYX7;0.022
BBG000BBJQV0;0.044
BBG000D8KTN6;0.012
BBG0026ZG4W0;0.032
BBG004RVFFC0;0.03
BBG000BHBGN6;0.032
BBG000DZS2L9;0.034
BBG000BB5373;0.017
BBG00QN8K4M4;0.028
BBG000VFBQG4;0.069
BBG000C2SBZ8;0.062
BBG000GTYWL7;0.02
BBG003BW05K6;0.021
BBG00LJYS1P8;0.027
BBG007BBS8B7;0.13
BBG000FKMP26;0.028
BBG00QV8FS02;0.035
BBG001K7WBT8;0.061
BBG000BZ9223;0.02
BBG000CHSS88;0.038
BBG000QS6NV8;0.035
BBG00VCZX9Z6;0.026
BBG000BRD0D8;0.023
BBG000MZL2S9;0.048
BBG000G2GJT7;0.047
BBG000BS4MP5;0.057
BBG004S682Z6;0.009
BBG000CTV4N4;0.034
BBG000BLDV98;0.023
BBG000BB0WG4;0.02
BBG000BTT3D1;0.033
BBG000BBK401;0.035
BBG000BF7BV7;0.061
BBG000BSFRF3;0.031
BBG000BWPXQ8;0.013
BBG000C5HS04;0.028
BBG004S68CV8;0.013
BBG000BSHH72;0.03
BBG000HGTH33;0.034
BBG000BP02D2;0.014
BBG000D13GN8;0.048
BBG00LDPZMS6;0.047
BBG000BW3299;0.019
BBG0059FN811;0.019
BBG000KQY8Y7;0.019
BBG000TJ8XZ7;0.016
BBG000RQBFV2;0.02
BBG000BDTT76;0.021
BBG0016T3GQ0;0.032
BBG000C90DH9;0.026
BBG00R240WL5;0.103
BBG000BH6360;0.02
BBG000GRZDV1;0.014
BBG001WWJTK5;0.059
BBG000JK9DK4;0.064
BBG004S68CP5;0.022
BBG001J2R5H3;0.029
BBG0016MQ7C5;0.044
BBG000G6Y5W4;0.026
BBG00RQ732B6;0.061
BBG00FX58Q66;0.02
BBG000BPMH90;0.033
BBG000BB9Q78;0.039
BBG000BJ3PD2;0.022
BBG00GVR8YQ9;0.021
BBG000PPFKQ7;0.015
BBG000MHTV89;0.036
BBG000BB65D0;0.023
BBG000FLZN98;0.027
BBG000BR54L0;0.027
BBG000BB6WG8;0.023
BBG00W7F99V5;0.049
BBG000G8N9C6;0.045
BBG000BN2DC2;0.028
BBG000H8TVT2;0.063
BBG00FWQ4VD6;0.049
BBG00MS90LK2;0.052
BBG000J3D1Y8;0.062
BBG00P33SY72;0.046
BBG000C7X325;0.03
BBG00HXSHDQ9;0.036
BBG000BNLPJ7;0.031
BBG007GJ2F81;0.034
BBG000BM5SR2;0.017
BBG000QFPM65;0.039
BBG000BBGGQ1;0.021
BBG000DQLV23;0.012
BBG00GCTWDJ3;0.097
BBG000BKRSZ3;0.017
BBG000BGFGT8;0.02
BBG004Z2RGW8;0.015
BBG0014GJCT9;0.038
BBG001QZCPJ2;0.053
BBG000DQN9R3;0.022
BBG004S68BH6;0.031
BBG002NLDLV8;0.048
BBG000CN80Y9;0.103
BBG017J18W74;0.05
BBG000BH0106;0.03
BBG004S681B4;0.022
BBG000FDBX90;0.022
BBG006Q52QV2;0.036
BBG000BG4202;0.026
BBG000BB0V03;0.017
BBG00XK3WVD0;0.026
BBG000C3G9J2;0.043
BBG0046L1KL9;0.076
BBG000C3FGH9;0.014
BBG000BJQWD2;0.013
BBG000CPBCL8;0.031
BBG008P7F869;0.041
BBG00QVJV6V4;0.069
BBG000H6HNW3;0.029
BBG00HVKH3Q0;0.065
BBG000R0L5J4;0.033
BBG000C101X4;0.033
BBG000BCNF74;0.016
BBG000BBWF85;0.041
BBG000BQ2C28;0.019
BBG000RG4ZQ4;
BBG00564Y443;0.036
BBG000BC4JJ4;0.019
BBG000G1C210;0.017
BBG000BD8PN9;0.021
BBG00PNN7C40;0.035
BBG000NS3P30;0.021
BBG000DD8WX1;0.018
BBG000BV6R84;0.038
BBG00F17NDH7;0.034
BBG000BKNX95;0.039
BBG000BMQCP6;0.028
BBG000C4FQG6;0.02
BBG000D2ZTS8;0.045
BBG00475KHX6;0.022
BBG00RPJPN67;0.044
BBG00DWX7QH0;0.169
BBG00R0ZFHV4;0.053
BBG003338H34;0.059
BBG000BB6G37;0.021
BBG000BC9938;0.068
BBG000BW6JV4;0.02
BBG000C17X76;0.017
BBG007BVZ8H9;0.04
BBG000CGJMB9;0.018
BBG000BN84F3;0.016
BBG0019V9M65;0.042
BBG000BH3JF8;0.026
BBG000DS5588;0.025
BBG000C5Z443;0.023
BBG000BM7HL0;0.034
BBG0065B7K59;0.03
BBG000BT9DW0;0.012
BBG007Z9V591;0.043
BBG000BKR1D6;0.015
BBG004S681W1;0.03
BBG000PZGB75;0.033
BBG000BQSBB2;0.04
BBG000NLB2G3;0.015
BBG000BGVW60;0.011
BBG00NNG2ZJ8;0.024
BBG004S68C39;0.016
BBG0025X16Y5;0.044
BBG000CFZ003;0.018
BBG000BX28M0;0.019
BBG000BMLVJ6;0.029
BBG004TPGBP5;0.12
BBG002B298N6;0.014
BBG007DLZ601;0.069
BBG000BTVJ25;0.025
BBG000BK2F42;0.021
BBG000DW4LB1;0.024
BBG000N625H8;0.033
BBG004S681M2;0.027
BBG000BXM6V2;0.058
BBG008LJ4TF3;0.022
BBG000BFPK65;0.016
BBG004S68BR5;0.03
BBG000C42WS4;0.024
BBG00CZNLR47;0.019
BBG001KJ2HM9;0.014
BBG00L2DB535;0.036
BBG0320C1036;0.117
BBG004WQKD07;0.011
BBG001NDW1Z7;0.081
BBG003PHHZT1;0.044
BBG000J094P3;0.055
BBG004S68507;0.028
BBG000L5CJF3;0.043
BBG000NLCCM3;0.037
BBG00LLW2MF2;0.043
BBG000BNNYW1;0.038
BBG000BD9FD1;0.02
BBG00F9YLST6;0.098
BBG00DW3SZS1;0.043
BBG000BVVQQ8;0.026
BBG000SR0YS4;0.017
BBG002GHV6L9;0.016
BBG000CDMJW6;0.026
BBG001MB89V6;0.06
BBG000TGLV00;0.029
BBG00PQ4XJ45;0.079
BBG000H1RYG7;0.038
BBG000BQW085;0.026
BBG000BM9RH1;0.029
BBG005L86G05;0.021
BBG004S684M6;0.026
BBG000GQSVC2;0.035
BBG00KHY5S69;0.033
BBG001PD3L10;0.016
BBG00VR8SDG8;0.074
BBG000V07CB8;0.127
BBG001J1BQ86;0.06
BBG002BCQK67;0.019
BBG000KLB4Q1;0.028
BBG0016YQTR5;0.03
BBG000DCCZW2;0.032
BBG00QKJSX05;0.027
BBG00BLYKS03;0.046
BBG000Q7GJ60;
BBG000BBR9P6;0.032
BBG00PKCBY53;0.1
BBG000H9G7X2;0.076
BBG001R16GZ5;0.153
BBG000BCLBY5;0.061
BBG002Q7J5Z1;0.024
BBG000PV2M48;0.021
BBG000BPWXK1;0.017
BBG000JYP7L8;0.025
BBG000BK5S78;0.042
BBG000FR1RP5;0.017
BBG003CVMLQ2;0.018
BBG000CHZ857;0.02
BBG00LBLCD02;0.035
BBG000H3FZM6;0.019
BBG000BSV0W5;0.059
BBG000BB4D72;0.028
BBG000BHX7N2;0.02
BBG000NDYB67;0.027
BBG000QX74T1;0.025
BBG00HFFRW39;0.027
BBG000GCSWR5;0.022
BBG00MS4Y0W9;0.075
BBG000BX4S53;0.022
BBG000BKFBD7;0.029
BBG00TZNCJ75;0.04
BBG003PDKJF7;0.054
BBG000BNGTQ7;0.058
BBG000PYX812;0.04
BBG006N7S6K9;0.021
BBG00475KKY8;0.023
BBG005TJKDZ6;0.031
BBG000BP52R2;0.014
BBG000HCVWW4;0.016
BBG000BZ2QG2;0.033
BBG000F6H7K3;0.0
BBG000BBL8V7;0.024
BBG000MBDGM6;0.023
BBG000BS5170;0.02
BBG000LLRNX3;0.03
BBG000BGKHZ3;0.02
BBG009HSTZ10;0.15
BBG004S68598;0.034
BBG000D8RG11;0.015
BBG003NJHZT9;0.064
BBG000BGSPS5;0.018
BBG000HGNYG8;0.017
BBG000BH2JM1;0.02
BBG00YV1J622;0.061
BBG000DW34S2;0.044
BBG000BBXLW4;0.03
BBG000LWNRP3;0.008
BBG000BD2167;0.024
BBG001KS9450;0.067
BBG000BFL116;0.033
BBG000BVMG26;0.031
BBG005XR47P5;0.026
BBG00HPSG933;0.052
BBG000FY4S11;0.03
BBG000C3VHF1;0.032
BBG000BLDXH5;0.03
BBG00GKS1G03;0.052
BBG000BT2TP0;0.049
BBG000BCWCG1;0.039
BBG000DD3510;0.048
BBG000BP3NW2;0.013
BBG000BCMWM1;0.02
BBG000BVXFK6;0.032
BBG000BSHJ96;0.015
BBG000GM6Y84;0.03
BBG000BF6RQ9;0.049
BBG000BMBL90;0.016
BBG000BVQRY3;0.026
BBG000BJ5GK2;0.026
BBG000B9ZXB4;0.018
BBG000VJMH65;0.028
BBG000BS2ZD1;0.024
BBG00LSD4456;0.103
BBG000BM6788;0.02
BBG00Q741Z16;0.072
BBG000BBK4B9;0.023
BBG00GVP5JL4;0.024
BBG000KCZPC3;0.026
BBG010JBYV98;0.041
BBG001BBGNS2;0.105
BBG000BLHRS2;0.022
BBG000BMXK89;0.037
BBG017TGV7M2;0.041
BBG000BJPDZ1;0.027
BBG00B6W26V8;0.002
BBG000G7QX50;0.016
BBG000QTF8K1;0.05
BBG00CVQZQ96;0.025
BBG000DVB833;0.025
BBG00M1CKSK7;0.042
BBG000BFRRX8;0.024
BBG00ZHDJVK4;0.04
BBG000FQ7YR4;0.027
BBG010MW0N84;0.044
BBG00MJH9LC4;0.045
BBG017BXPZ85;0.026
BBG000BWLMJ4;0.024
BBG000BLRP41;0.032
BBG0112Z87D8;0.062
BBG00HVQF9K2;0.034
BBG000FJS1S8;0.022
BBG00XMJRPQ8;0.043
BBG000BKLTM1;0.032
BBG0098VVDT9;0.039
BBG000BNX3R4;0.014
BBG000D86F25;0.019
BBG000BVDLH9;0.023
BBG000BTT5B8;0.014
BBG000F31Z34;0.015
BBG00J0BBZL0;0.014
BBG006G412Q6;0.027
BBG000BGCQT9;0.039
BBG00H433CR2;0.011
BBG000MZL0Y6;0.039
BBG000DCNK80;0.021
BBG000PT6BR8;0.033
BBG000D9D830;0.026
BBG000DH7JK6;0.018
BBG000QF1Q17;0.025
BBG000F6H8W8;0.038
BBG004PYF2N3;0.032
BBG000Q0JJQ0;0.01
BBG009GSYN76;0.014
BBG001Q7HP63;0.073
BBG000BJ91B1;0.017
BBG000BKL348;0.019
BBG000BMFFQ0;0.016
BBG000BJD1D4;0.02
BBG001VBZR00;0.237
BBG004S68DD6;0.011
BBG00WYHL732;0.073
BBG000BNBDC2;0.026
BBG00LWZDYB9;0.054
BBG000BC7VW9;0.015
BBG003QBJKN0;0.064
BBG000LWVHN8;0.041
BBG0025XVR85;0.047
BBG000C5QMB5;0.025
BBG000BGF8B5;0.035
BBG0060CPLJ5;0.031
BBG000BCWSS3;0.035
BBG000BCY878;0.018
BBG000CN3S73;0.025
BBG000BJ41X2;0.021
BBG001R3MNY9;0.041
BBG001J19V24;0.042
BBG000FP1N32;0.03
BBG000C2PL98;0.023
BBG00JG0FFZ2;0.052
BBG000H7ZK57;0.051
BBG000D1Y3P1;0.027
BBG000T8ZF80;0.019
BBG000BKKQ84;0.029
BBG000BWP7D9;0.014
BBG00NNW8JK1;0.084
BBG008HBD923;0.066
BBG00MVWLLM2;0.047
BBG000VH7TZ8;0.028
BBG00LV3NRG0;0.061
BBG000FVZQY1;0.1
BBG000BM0597;0.017
BBG000BLKK03;0.018
BBG003DNHV56;0.036
BBG000C3J3C9;0.042
BBG005DWN8K8;0.055
BBG004S68473;0.031
BBG000BL46Q4;0.026
BBG00SDJ8M78;0.083
BBG000BCZL41;0.021
BBG000BMKDM3;0.018
BBG000BBV4M5;0.072
BBG002B9MYC1;0.014
BBG000BBD070;0.018
BBG001MKZGY7;0.061
BBG00N9MJTZ9;0.094
BBG000C0HQ54;0.146
BBG000BNGBW9;0.069
BBG000BJDB15;0.036
BBG00GNC8DL2;0.021
BBG004S683W7;0.024
BBG000T88BN2;0.047
BBG000BW2QX0;0.022
BBG000BBVVK7;0.022
BBG000CRN8N8;0.028
BBG000Q9FZL4;0.03
BBG00N6NL712;0.148
BBG002W2FT69;0.01
BBG000BWJFZ4;0.029
BBG005BT60Y8;0.013
BBG003NXJNH6;0.021
